lexicon_id,semantic_domain,canonical_concept,paadal_cues,pozhppurai_cues,relationship_bias,ontology_relation,morphology_note,score_feature,suggested_weight,example_source,example_target
LEX_DEITY_GENERIC_001,DEITY_EPITHET,Siva as Lord,ஐயன்|அத்தன்|எந்தை|அண்ணல்|நம்பன்|பெம்மான்|ஒருவன்|பித்தர்,சிவபிரான்|சிவபெருமான்|இறைவன்|இறைவர்|பெருமான்|தலைவன்|அண்ணல்,describes_entity,deity_alias_of(SIVA),"Allow case endings: இறைவனை, இறைவரை, இறைவனது, சிவபெருமானுடைய",semantic_alias_overlap,0.18,அத்தன் முதுகுன்றை,திருமுதுகுன்றத்துத் தலைவனாகிய சிவபிரான்
LEX_DEITY_PLACE_002,PLACE_BASED_DEITY_EPITHET,Siva residing at thalam,ஆலவாயிலான்|ஆலவாயிலார்|முதுகுன்றை|மிழலையீர்|அண்ணாமலை அண்ணல்|சிராப்பள்ளி,ஆலவாய் இறைவன்|திருமுதுகுன்றத்து இறைவன்|திருவீழிமிழலையில் உறைபவர்|திருவண்ணாமலையில் விளங்கும்|எழுந்தருளிய,describes_entity,"resides_at(DEITY, THALAM)","Place name may be compounded with suffix: ஆலவாய்+இலான், மிழலை+யீர்",thalam_deity_anchor_score,0.16,நீலமாமிடற்று ஆலவாயிலான்,நீலநிறம் பொருந்திய கண்டத்தினை உடைய திரு ஆலவாய் இறைவனை
LEX_SAINT_003,SAINT,Tirugnanasambandar,சம்பந்தன்|காழி மா நகர் வாழி சம்பந்தன்|நன்று சம்பந்தன்,ஞானசம்பந்தன்|சீகாழிப் பதியாகிய பெரிய நகருள் தோன்றி வாழும்|பெருமை உடையவனாகிய ஞானசம்பந்தன்,describes_entity,saint_alias_of(SAMBANDAR),Allow honorific and case endings,saint_anchor_score,0.13,காழி மா நகர் வாழி சம்பந்தன்,சீகாழிப் பதியாகிய பெரிய நகருள் தோன்றி வாழும் ஞானசம்பந்தன்
LEX_IMAGE_CRESCENT_004,SACRED_OBJECT.CRESCENT,crescent moon on Siva's head,பிறை|திங்கள்|மதி|இளவெண் பிறை|வெண்திங்கள்|தூவெண்மதி,வெண்பிறை|பிறைமதி|திங்கள்|சூடி|முடிமேல்|சடைமுடி,interprets_image,"wears_on_head(SIVA, CRESCENT_MOON)",மதி can mean moon or intellect; require சூடி/முடி/சடை nearby for moon image,image_object_relation_score,0.17,இளவெண் பிறை முடிமேல்,வெண்பிறையைச் சூடி
LEX_IMAGE_GANGA_005,SACRED_OBJECT.GANGA_WATER,Ganga/water in matted hair,புனல்|கங்கை|நீர்|சடை ஆர் புனல்|சடை உலவும் புனல்,கங்கையைத் தரித்த|சடையில் கங்கை|சடைமுடியில் கங்கை|புனல்|நீர்,interprets_image,"contains(SIVA_HAIR, GANGA)",புனல் may be ordinary water; require சடை or deity context to become Ganga image,image_object_relation_score,0.16,சடை ஆர் புனல்,சடைமுடியில் கங்கையைத் தரித்தவனும்
LEX_IMAGE_ASH_006,SACRED_OBJECT.ASH,sacred ash / cremation ash,பொடி|திருநீறு|சுண்ணம்|சாம்பல்|சுடலைப் பொடி,சாம்பற் பொடி|திருவெண்ணீறு|சுண்ணம்|பூசி|அணிந்த,interprets_image,"wears(SIVA, SACRED_ASH)",பொடி may be generic powder; boost only with சுடலை/பூசி/உடல்,image_object_relation_score,0.15,சுடலைப் பொடி பூசி,சாம்பற் பொடியை உடல் முழுதும் பூசி
LEX_IMAGE_BULL_007,SACRED_OBJECT.MOUNT_BULL,bull/Nandi mount,விடை|எருது|ஏறு|ஆனேறு|ஆடல் ஏறு,எருது ஏறி|விடை மீது ஏறி|ஆனேற்றினான்|ஏற்றினான்,interprets_image,"rides(SIVA, BULL)",விடை can be bull or answer; require ஏற/ஏறு/deity context,image_action_relation_score,0.17,எருது ஏறுவது,எருது ஏறி வருவதோடு
LEX_IMAGE_SKULL_008,SACRED_OBJECT.SKULL_BOWL,Brahma skull-bowl / kapala,வெண்தலை|தலை|கலன்|கபாலம்|பலி உணவு,பிரமனது வெண்மையான தலையோடு|தலையோட்டை உண்கலனாக் கொண்டு|கபாலம்|பலி,interprets_image,"uses_as_bowl(SIVA, BRAHMA_SKULL)",Need target cue கலன்/உண்கலம்/பலி to avoid ordinary head,myth_object_relation_score,0.19,வெண்தலை கலனா,பிரமனது வெண்மையான தலையோட்டை உண்கலனாக் கொண்டு
LEX_IMAGE_SERPENT_009,SACRED_OBJECT.SERPENT,serpent worn/held by Siva,அரவு|அரவம்|நாகம்|பாம்பு,பாம்பு|நாகம்|அரவு|சடையில் பாம்பும்|அணிந்த,interprets_image,"wears_or_contains(SIVA, SERPENT)",அரவம் can mean sound; disambiguate with target பறை/ஆரவாரம் vs பாம்பு/நாகம்,polysemy_disambiguation_score,0.16,உரவம் சடை உலவும் புனல்,சடையில் பாம்பும் கங்கையும்
LEX_IMAGE_WEAPON_010,SACRED_OBJECT.WEAPON,axe/weapon held by Siva,மழு|படை|வேல்|அம்பு|வெண்மழு,மழுப்படை|கையிலேந்தி|ஏந்தியவர்|படையைக் கொண்ட,interprets_image,"holds(SIVA, WEAPON)",படை may mean army or weapon; use relation cues ஏந்தி/கையில்,held_object_relation_score,0.16,வெண்மழு ஏந்தினார்,வெண்ணிற மழுப்படையை ஏந்தியவர்
LEX_THEO_WORSHIP_011,THEOLOGY.WORSHIP,worship/praise/recitation,ஏத்துவீர்|தொழ|பணிவார்|பணிமினே|கூப்புவீர்|மலர் தூவி|பாடியே|சொலீர்|சிந்தை செய்ம்மினே,வழிபட்டு|தொழுது|பணிந்து|துதித்து|போற்றி|அருச்சித்து|மலர்களால்|மனங்கொள்ளுங்கள்|பாடி,theological_explanation,devotee_action_toward(DEITY),"Handle imperative/honorific suffixes: -வீர், -மினே, -ஆகி, -வரின்",devotional_action_score,0.18,கைகள் கூப்புவீர்,கைகளைக் கூப்பி வழிபடுவீர்களாயின்
