link_id,hardening_category,current_confidence,current_score,relationship_type,thirumurai_no,paadal_id,source_text,target_text,surface_overlap_estimate,shared_entity_types_before,synonym_score_before,recommended_algorithm_action,features_to_compute,proposed_confidence_policy,manual_review_needed_after_hardening,diagnostic_note
ppl_v4_base_5fc767738706e4af,low_ambiguous_multiple_targets,low,0.2186,interprets_image,1,thirumurai_01_paadal_1076,போதும் பொன்னும் உந்தி அருவி புடை சூழ,நம்மவர்களே! அருவிகள் மலர்களையும் பொன்னையும் உந்திவந்து இரு புறங்களிலும் குளிர்ந்த மழை போல் நுண்மையான துளிகளை உதிர்க்கும் குற்றாலம்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_81f11292c5544d91,low_ambiguous_multiple_targets,low,0.2874,interprets_image,1,thirumurai_01_paadal_108,சடை ஆர் புனல்,சடைமுடியில் கங்கையைத் தரித்தவனும்,0.0000,BODY_PART,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_b89351d8722f4b2e,low_ambiguous_multiple_targets,low,0.213,interprets_image,1,thirumurai_01_paadal_1089,"குண்டு ஆய் முற்றும் திரிவார், கூறை மெய் போர்த்து",பருத்த உடலினராய் எங்கும் திரியும் சமணரும்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_68e0d6fef7b3d2fe,low_ambiguous_multiple_targets,low,0.2414,explains_line,1,thirumurai_01_paadal_11,அருநெறிய மறை வல்ல முனி அகன் பொய்கை அலர் மேய,அருமையான நெறிகளை உலகிற்கு வழங்கும் வேதங்களில் வல்ல பிரமனால் படைக்கப்பட்டதும்,0.0667,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_bb96054d9312f682,low_ambiguous_multiple_targets,low,0.2052,explains_phrase,1,thirumurai_01_paadal_1183,"வெற்று அரை உழல்பவர், விரி துகிலார்",ஆடையில்லாத இடையோடு திரிந்துழல்வோரும்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_e1ddfa46e8a14dd8,low_ambiguous_multiple_targets,low,0.2723,explains_phrase,1,thirumurai_01_paadal_1205,மண்ணுதல் பறித்தலும் மாயம் இவை,நீரிற் பல கால் மூழ்கலும் மயிர் பறித்தலும் ஆகிய புத்த சமண விரத ஒழுக்கங்கள் பொய்யானவை,0.0667,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_9592db9d2970e72d,low_ambiguous_multiple_targets,low,0.2579,theological_explanation,1,thirumurai_01_paadal_1250,"காவினை இட்டும், குளம்பல தொட்டும், கனி மனத்தால்",அவ்வாறு செய்யின் கொடிய பழவினைகள் நம்மைத் தீண்டமாட்டா,0.0000,THEOLOGICAL_CONCEPT,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_62d01b055650ea04,low_ambiguous_multiple_targets,low,0.2252,interprets_image,1,thirumurai_01_paadal_131,"ஏறு ஆர்தரும் ஒருவன், பல உருவன்","எருதின்மேல் வருபவனும், பல்வேறு மூர்த்தங்களைக் கொண்டவனும்",0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_ff1dab82ae0d4ab9,low_ambiguous_multiple_targets,low,0.2033,explains_phrase,1,thirumurai_01_paadal_1339,"கலைமகள் தலைமகன், இவன்” என வருபவர்",அலைகள் நிறைந்த கங்கை நதி,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
ppl_v4_base_b47d09ad78375a1f,low_ambiguous_multiple_targets,low,0.2052,interprets_image,1,thirumurai_01_paadal_1346,மன்மதன் என ஒளி பெறுமவர் மருது அமர்,மருதத்தினது வலிய மலரால் துவர் ஏற்றிய காவி ஆடையை உடுத்த புத்தர்களும் அறிவற்றவர்,0.0000,,0.0,resolve_with_global_assignment_and_margin,"best_second_margin,global_assignment_score,target_granularity_score,gold_pattern_similarity",medium_after_sequence_confirmation_else_low_review,"YES if final_score < medium threshold, best_second_margin < 0.05, or no exact target span","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
