sample_reason,confidence,score,diagnostic_group,source_shape,token_overlap,char_overlap,shared_entity_count,relationship_type,thirumurai_no,paadal_id,link_id,source_text,target_text,diagnostic_note
diagnostic_group=ambiguous_multiple_targets,low,0.1235,ambiguous_multiple_targets,ordinary_phrase,0.0,0.0208,0,theological_explanation,3,thirumurai_03_paadal_2919,ppl_v4_base_5d2db92350488bd5,இதன் மூலம் பாடல் கொடுக்கப்படவில்லை.,சமணர்களும் சாதித்துக் கூறுகின்ற சொற்களைக் கேட்டு உணர்வழிந்து தளர்ச்சி அடைய வேண்டா.,"The best target is close to the second-best target, so several pozhppurai spans may be plausible."
diagnostic_group=ambiguous_multiple_targets,low,0.1264,ambiguous_multiple_targets,ordinary_phrase,0.0,0.0377,0,theological_explanation,3,thirumurai_03_paadal_3253,ppl_v4_base_4e459ef384cedfff,இதன் மூலம் பாடல் கொடுக்கப்படவில்லை.,"சமணர் ஆகியோர்களைப் படைத்தும்,","The best target is close to the second-best target, so several pozhppurai spans may be plausible."
diagnostic_group=focused_qa_rule_match,high,0.92,focused_qa_rule_match,single_token,1.0,1.0,0,glosses_word,1,thirumurai_01_paadal_65,ppl_v4_base_4e5cd9f1b256d66c,நின்று,நின்று,Focused QA rule matched: focused_qa_corrected_usable.
diagnostic_group=focused_qa_rule_match,high,0.92,focused_qa_rule_match,single_token,0.5,0.5,2,interprets_image,7,thirumurai_07_paadal_484,ppl_v4_base_3a41fbab8bef936e,கொன்றை,கொன்றை மலர்,Focused QA rule matched: focused_qa_accepted_split.
diagnostic_group=focused_qa_rule_match,medium,0.78,focused_qa_rule_match,single_token,1.0,1.0,1,interprets_image,6,thirumurai_06_paadal_27,ppl_v4_base_3d22a0fecbf7b5db,நீறு,நீறு,Focused QA rule matched: focused_qa_corrected_usable.
diagnostic_group=focused_qa_rule_match,medium,0.78,focused_qa_rule_match,single_token,1.0,1.0,0,explains_line,6,thirumurai_06_paadal_410,ppl_v4_base_079ac5e35850ac4a,நீயே,நீயே,Focused QA rule matched: focused_qa_corrected_usable.
diagnostic_group=low_lexical_overlap,low,0.1208,low_lexical_overlap,single_token,0.0,0.0046,0,describes_entity,2,thirumurai_02_paadal_2255,ppl_v4_base_54b2a7d6c30404d6,எண்ணும்,கரையை அகழும் வித்தகத்தோடு அலைகள் சூழும் கடலை அடுத்துள்ள காழிப்பதியில் கவுணியர் குலத்தில் தோன்றி நல்ல ஞானத்தால் எல்லாவற்றையும் இனிதுணரும் ஞானசம்பந்தன் கருதிச் சொல் வித்தகத்துடன் இறைவனது திருநணாவை ஏத்திய இப்பதிகப்பாடல்களை மேம்பட்ட இசைத் திறமையால் பாடிப் போற்றுவார் இவ்வுலகில் பழியிலராவர்.,The paadal line and selected pozhppurai target share little surface vocabulary.
diagnostic_group=low_lexical_overlap,low,0.1209,low_lexical_overlap,single_token,0.0,0.0051,0,explains_phrase,1,thirumurai_01_paadal_129,ppl_v4_base_93d178dc5b3cc83c,நிகர்,மேகங்கள் வந்து தங்கும் திருமுதுகுன்றத்தில் விளங்கும் பெருமானைப் பழமையான மிக்க புகழையுடைய புகலி நகரில் தோன்றிய மறைவல்ல ஞானசம்பந்தன் உரைத்த ஒப்பற்ற தமிழ்மாலைகளாகிய இப்பதிகப் பாடல்கள் பத்தையும் இசையோடு பகர்ந்து வழிபடும் அடியவர்களைத் துன்பங்களும் அவற்றைத் தரும் பாவங்களும் அடையா.,The paadal line and selected pozhppurai target share little surface vocabulary.
diagnostic_group=medium_similarity,medium,0.27,medium_similarity,punctuated_phrase,0.0526,0.1232,0,explains_phrase,5,thirumurai_05_paadal_1246,ppl_v4_base_805bf5845ae59588,"கூரிய(க்) குணத்தார் குறி நின்றவன்,","ஆரியமும், தமிழும், இசையும் ஆனவனும் மிக்க குணத்தார் குறியாக நின்றவனும் ஒருபாற் பார்வதிதேவியாரை உடையவனுமாகிய பெருமான் வீற்றிருக்கும் கடம்பந்துறை சென்றடைவீர்களாக.",Medium-confidence link; likely useful but should be sampled before scholarly use.
diagnostic_group=medium_similarity,medium,0.2701,medium_similarity,ordinary_phrase,0.0,0.0101,0,explains_phrase,1,thirumurai_01_paadal_123,ppl_v4_base_f792edeeef316bfd,கறை ஆர்,"கூரிய மூவிலை வடிவாய் அமைந்த குருதிக் கறைபடிந்த அழகிய நீண்ட வேலின் முனையில் குத்தி ஏந்திய சிவபெருமானது இடம் யாதெனில்,",Medium-confidence link; likely useful but should be sampled before scholarly use.
diagnostic_group=missing_or_unlinked,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3056,ppl_v4_base_4bd790511eed5da8,5,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
diagnostic_group=missing_or_unlinked,no_link,0.0,missing_or_unlinked,numeric_only,0.0,0.0,0,unlinked,3,thirumurai_03_paadal_3548,ppl_v4_base_2da1aa52e174751d,1,,"The normalized commentary row has empty pozhppurai text, so no target span can be linked."
diagnostic_group=no_shared_entity_anchor,low,0.1327,no_shared_entity_anchor,single_token,0.0312,0.0103,0,describes_entity,2,thirumurai_02_paadal_2444,ppl_v4_base_031c9e99fa349dc4,எனப்,மணிகளையும் பொன்னையும் உந்திக் கொண்டு வரும் நீரை உடைய நிவாநதிக் கரைமேல் அழகுற அமைந்த நெல்வாயில் அரத்துறை அடிகள் தம் திருவருள் பிணிப்போடு அமைந்த மென்மையான சடைமீது பிறையணிந்துள்ள சிவனே எனப் பக்தி செய்து அவன் திருத்தொண்டுகளை அன்போடு செய்யாத பாவிகள் தொழுது பெறுதற்கு இயலாதது.,No accepted Entity v2 anchor overlaps both source and target spans.
diagnostic_group=no_shared_entity_anchor,low,0.1328,no_shared_entity_anchor,single_token,0.0294,0.013,0,theological_explanation,2,thirumurai_02_paadal_1990,ppl_v4_base_9fa382b95fc26f55,என்று,தேன் பொருந்திய செந்தாமரையில் எழுந்தருளிய நான்முகன் கடலிடைத் துயிலும் திருமால் ஆகியோர் தன்முனைப்பு நீங்கிச் சிறந்த அடியவர் ஆதற் பொருட்டு மிக உயர்ந்தும் ஆழ்ந்தும் அவர்கள் உணர்தற்கு அரியவனாகிய சிவபிரான் வெள்ளானை தவஞ் செய்து வழிபடும் நிலையில் சிறந்த திருவெண்காட்டில் எழுந்தருளியுள்ளான் என்று மனங்கசிந்து ,No accepted Entity v2 anchor overlaps both source and target spans.
diagnostic_group=order_only_weak_match,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,explains_phrase,3,thirumurai_03_paadal_2852,ppl_v4_base_65fd56159d8d55b4,8,யானையின் தோலை உரித்துப் போர்த்தித் திருப்பூந்தராய் என்னும் தலத்தில் விரும்பி எழுந்தருளியுள்ள எனது பிஞ்ஞகனாகிய சிவபெருமானே தனது திருவடி விரல் ஒன்றினால் அரக்கனது ஆற்றலை அழித்துப் பின்னர் அவனுக்கு அருள் செய்தான்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
diagnostic_group=order_only_weak_match,low,0.12,order_only_weak_match,numeric_only,0.0,0.0,0,theological_explanation,3,thirumurai_03_paadal_2901,ppl_v4_base_dada6d55d5a01bd4,2,சீதாப்பிராட்டியைக் கவர்ந்த தென்னிலங்கை மன்னனான தசமாமுகனின் பூச்சூடிய முடியையுடைய தலைகளை அறுத்துக் கொன்ற பழி நீங்குமாறு அம்பினைச் செலுத்தும் வில்லையுடைய அண்ணலாகிய இராமபிரான் வழிபட்ட இராமேச்சுரத்தை இடைவிடாது சிந்திப்பவர்களின் வினை அழியும்.,"The selected target is mainly supported by poem/commentary order, with little lexical or entity evidence."
diagnostic_group=overlaps_reviewed_split_or_gold,high,0.5285,overlaps_reviewed_split_or_gold,ordinary_phrase,0.4,0.6538,0,theological_explanation,6,thirumurai_06_paadal_379,ppl_v4_base_76ff7f9a3435166e,நான் அரற்றி நைகின்றேனே!.,என்று நான் அரற்றி நைகின்றேன்.,"Broad v2 parent overlaps a focused QA split/phrase rule; keep for diagnostics, not positive training."
diagnostic_group=overlaps_reviewed_split_or_gold,high,0.5318,overlaps_reviewed_split_or_gold,punctuated_phrase,0.2,0.1935,2,interprets_image,2,thirumurai_02_paadal_2649,ppl_v4_base_0651ef2245634976,"அரவு அல்குல்,",அரவு போன்ற அல்குலையும் உடையவரும்.,"Broad v2 parent overlaps a focused QA split/phrase rule; keep for diagnostics, not positive training."
